TAG ID,TANK #,START DATE,END DATE,SURVIVAL (days),SURVIVAL,TAG RETENTION (days),TAG IMPLANTED,DUMMY TYPE,DUMMY #,TAG WEIGHT (g),TAG LENGTH (mm),TAG RADIUS (mm),TAG VOLUME (mm),SURGEON,INITIAL LENGTH (mm),INITIAL WEIGHT (g),INITIAL CONDITION FACTOR (k),INITIAL TAG/LENGTH RATIO,INITIAL TAG/WEIGHT RATIO,FINAL LENGTH (mm),FINAL WEIGHT (g),FINAL CONDITION FACTOR (k),FINAL TAG/LENGTH RATIO,FINAL TAG/WEIGHT RATIO,LENGTH DIF,DELTA LENGTH (%),DELTA WEIGHT (%),DELTA k (%),TAG PRESENT,SEX,SUTURES REMAINING,INCISION,EXTERNAL CONDITION,INTERNAL CONDITION,RESPONSE TO TAG,STATE OF TAG REJECTION,REJECTION,REJECTION (Y/N),ANTEROPOSTERIOR AXIS,LEFT-RIGHT AXIS,NOTES,comments,,RESPONSE TO TAG.1
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1066,0.9,22,3.5,846.6592201,1,308,303.9143568,1.040157409,0.071428571,0.002961361,355,491.5,1.0986,0.061971831,0.001831129,47,0.152597403,0.617231924,0.056183543,Y,M,3,healed,some irritation,tissue adhesion near incision site,encapsulated in mesentery,no rejection,No,No,medial,medial,comsumed 8 tags,"three sutures remaining, minimal redness, adhesion to suture area, tag encapsulated, located middle, fish consumed 8 tags, numbers: tag # dt16, dt55, 1048, 1035, dt70, 1054, 1169, 1047 two tags were just labels not physical tags dt55 and 1035",,encapsulated in mesentery
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1085,0.9,22,3.5,846.6592201,2,295,267.1295141,1.040532923,0.074576271,0.003369152,360,560.5,1.20135,0.061111111,0.001605709,65,0.220338983,1.098233143,0.154548785,Y,M,2,healed,some irritation,,encapsulated in mesentery,adhered to body wall,In progress,Yes,medial,left lateral,,"two sutures remaining, redness, tag left side middle, encapsulated on side of fish mesentary, adhesion on body wall",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1075,0.9,22,3.5,846.6592201,3,295,267.1295141,1.040532923,0.074576271,0.003369152,370,619,1.22204,0.059459459,0.001453958,75,0.254237288,1.317228039,0.174436799,Y,M,2,healed,some irritation,tissue adhesion near incision site,encapsulated in mesentery,adhered to body wall,In progress,Yes,medial,right lateral,,"two sutures with some redness, some adhesion at suture site, tag middle right side encapsulated to body cavity",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1034,0.9,22,3.5,846.6592201,3,295,267.1295141,1.040532923,0.074576271,0.003369152,345,411,1.00089,0.063768116,0.002189781,50,0.169491525,0.538579522,-0.038102689,Y,F,1,healed,some irritation,viscera adhered to suture,encapsulated in mesentery,emerging through body wall,In progress,Yes,medial,right lateral,,"one suture, some redness, tag is protruding, viserca adhered, tag middle right, pushing through body wall",,encapsulated in mesentery
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1039,0.9,22,3.5,846.6592201,1,295,267.1295141,1.040532923,0.074576271,0.003369152,348,534,1.26708,0.063218391,0.001685393,53,0.179661017,0.999030327,0.217720729,Y,F,3,healed,some irritation,tissue adhesion near incision site,partially encapsulated,no rejection,No,No,medial,right lateral,,"three sutures, some irritation, lightly incapsulated in mesentary, middle right, adhesions holding tag",,partially encapsulated
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1030,0.9,22,3.5,846.6592201,1,295,267.1295141,1.040532923,0.074576271,0.003369152,345,459,1.11778,0.063768116,0.001960784,50,0.169491525,0.718267641,0.074235683,Y,F,1,healed,no irritation,tissue adhesion near incision site,encapsulated in mesentery,protruding from body wall,In progress,Yes,medial,left lateral,,"healed, possible expulsion site ventral left middle, middle tag encapsulated in mesentary, adhesion to body wall near suture",,encapsulated in mesentery
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1032,0.9,22,3.5,846.6592201,2,293,261.7480263,1.040592172,0.075085324,0.003438421,345,422.5,1.02889,0.063768116,0.002130178,52,0.177474403,0.614147797,-0.011244588,Y,F,2,healed,some irritation,tissue adhesion near incision site,encapsulated in mesentery,no rejection,No,No,medial,medial,,"two sutures, some redness, adhesion near suture area, tag encapsulated in middle near incision",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1088,0.9,22,3.5,846.6592201,2,293,261.7480263,1.040592172,0.075085324,0.003438421,345,492.5,1.19936,0.063768116,0.001827411,52,0.177474403,0.881580568,0.152572876,Y,M,0,healed,no irritation,tissue adhesion near incision site,encapsulated in mesentery; enveloped in viscera,no rejection,No,No,medial,medial,,"no sutures, fully healed, adhesions at incision site, tag central middle under incision site, incorporate in viscera with mesentary",,encapsulated in mesentery; enveloped in viscera
9.45E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1084,0.9,22,3.5,846.6592201,3,292,259.0845625,1.040621949,0.075342466,0.003473769,330,435,1.21045,0.066666667,0.002068966,38,0.130136986,0.678988496,0.163200165,Y,M,2,healed,some irritation,tissue adhesion near incision site,no encapsulation,no rejection,No,No,medial,medial,,"two sutures, slight irritation at one, incision healed, tag located middle directly under incision, some adhesion, ",,no encapsulation
9.82E+14,6,12/9/2017,12/10/2017,92,Y,30,Y,V7,1119,0.9,22,3.5,846.6592201,1,290,253.8118876,1.040681814,0.075862069,0.003545933,350,540.5,1.26064,0.062857143,0.001665125,60,0.206896552,1.129529886,0.211361035,N,F,1,healed,no irritation,viscera adhered to suture,expelled,no signs of exit,Yes,Yes,NA,NA,,"one suture remaining, no obvious exit site, some adhesion of viscera",,expelled
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1110,0.9,22,3.5,846.6592201,2,289,251.2025535,1.040711902,0.076124567,0.003582766,340,455.5,1.15892,0.064705882,0.001975851,51,0.176470588,0.813277746,0.113579196,Y,F,2,healed,no irritation,tissue adhesion near incision site,encapsulated in mesentery,no rejection,No,No,medial,right lateral,,"two sutures, no irritation, slight adhesion at incision, tag located middle right wrapped in mesentary",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1094,0.9,22,3.5,846.6592201,3,288,248.6111398,1.040742096,0.076388889,0.003620111,345,468,1.13969,0.063768116,0.001923077,57,0.197916667,0.882457883,0.095078989,Y,F,2,healed,some irritation,tissue adhesion near incision site,embedded in pyloric caeca,no rejection,No,No,medial,medial,,"two sutures, slight redness, adhesion at incision site, tag middle incoporate in pyloric cecea ahesions",,embedded in pyloric caeca
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1109,0.9,22,3.5,846.6592201,3,286,243.4818272,1.040802802,0.076923077,0.003696374,345,470.5,1.14578,0.063768116,0.001912859,59,0.206293706,0.93238241,0.100864557,Y,M,2,healed,some irritation,,encapsulated in mesentery,no rejection,No,No,anterior,right lateral,,"two sutures, redness, incision healed, tag anterior right, mensentary",,encapsulated in mesentery
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1080,0.9,22,3.5,846.6592201,3,285,240.9438053,1.040833316,0.077192982,0.003735311,340,456,1.16019,0.064705882,0.001973684,55,0.192982456,0.892557476,0.114671524,Y,F,2,healed,some irritation,viscera adhered to suture,encapsulated in mesentery,no rejection,No,No,medial,right lateral,,"two sutures remaining, one broken, some irritation, viscera slightly attached to body wall, tag located middle right, encapsulated in body wall, ",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1097,0.9,22,3.5,846.6592201,1,284,238.4234578,1.040863938,0.077464789,0.003774796,360,535,1.14669,0.061111111,0.001682243,76,0.267605634,1.243906724,0.101672016,Y,M,0,healed,no irritation,viscera adhered to suture,no encapsulation,no rejection,No,No,posterior,right lateral,,"no sutures, healed, viscera attatched, tag posterior right in mesentary",,no encapsulation
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1062,0.9,22,3.5,846.6592201,3,283,235.9207231,1.040894668,0.077738516,0.003814841,340,443.5,1.12838,0.064705882,0.002029312,57,0.201413428,0.879868772,0.084051935,Y,M,1,healed,some irritation,,encapsulated in mesentery,protruding from body wall,In progress,Yes,anterior,right lateral,,"one suture, some redness, incision closed, anterior right tag encapsulated in body wall, starting to push through ",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1095,0.9,22,3.5,846.6592201,2,281,230.9678461,1.04095646,0.078291815,0.003896646,325,421,1.2264,0.067692308,0.002137767,44,0.15658363,0.822764541,0.178146909,Y,F,0,healed,no irritation,,encapsulated in mesentery,no rejection,No,No,medial,right lateral,,"sutures healed, tag right side middle, encapsulated in mesentary",,encapsulated in mesentery
9.82E+14,6,12/9/2017,12/10/2017,92,Y,30,Y,V7,1074,0.9,22,3.5,846.6592201,2,281,230.9678461,1.04095646,0.078291815,0.003896646,320,355.5,1.0849,0.06875,0.002531646,39,0.138790036,0.539175284,0.042214487,N,M,1,healed,some irritation,tissue adhesion near incision site,expelled,no signs of exit,Yes,Yes,NA,NA,,"one suture remaining, some redness, wound healed, viscera attached to suture site",,expelled
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1031,0.9,22,3.5,846.6592201,2,280,228.5175808,1.040987522,0.078571429,0.003938428,355,515.5,1.15224,0.061971831,0.001745878,75,0.267857143,1.255843941,0.106873746,Y,M,0,healed,some irritation,viscera adhered to suture,no encapsulation,no rejection,No,No,medial,right lateral,,"no sutures remaining, redness, incision healed, viscera adhered, tag middle right mesentary",,no encapsulation
